epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.7132,1.77708,3.39138,1.95231,0.53712,0.28412,0.29437,0.15315,1.78758,2.43185,1.96714,0.00027561,0.00027561,0.00027561
2,94.4649,1.67892,2.57281,1.79556,0.53263,0.3014,0.31137,0.15054,1.86517,2.26968,2.02427,0.000547799,0.000547799,0.000547799
3,139.144,1.69301,2.43336,1.82448,0.31716,0.38889,0.37674,0.19236,1.73938,2.29996,2.02204,0.000814491,0.000814491,0.000814491
4,183.014,1.68254,2.31109,1.82859,0.53599,0.35886,0.35687,0.18151,1.85322,2.12397,2.04527,0.00080826,0.00080826,0.00080826
5,227.136,1.65492,2.16219,1.79731,0.67314,0.3607,0.44408,0.21605,1.78175,1.88255,1.96326,0.000800013,0.000800013,0.000800013
6,272.61,1.66344,2.10698,1.76469,0.46589,0.41399,0.44036,0.23457,1.7089,1.9583,1.84611,0.000791767,0.000791767,0.000791767
7,316.584,1.613,2.0451,1.76348,0.60229,0.41704,0.47341,0.241,1.7172,1.85852,1.87253,0.00078352,0.00078352,0.00078352
8,360.537,1.59231,1.94488,1.72785,0.61926,0.42903,0.46915,0.24803,1.73402,1.80612,1.86261,0.000775273,0.000775273,0.000775273
9,405.093,1.58893,1.93229,1.71748,0.5899,0.40929,0.46207,0.24983,1.71562,1.88757,1.92229,0.000767026,0.000767026,0.000767026
10,449.975,1.5801,1.90093,1.72972,0.54626,0.4894,0.49657,0.26756,1.68128,1.73525,1.86265,0.00075878,0.00075878,0.00075878
11,493.677,1.57725,1.86714,1.71382,0.67315,0.45312,0.50308,0.26816,1.70269,1.67556,1.85459,0.000750533,0.000750533,0.000750533
12,537.13,1.57074,1.8232,1.71594,0.45712,0.52828,0.53258,0.27872,1.70279,1.63711,1.82336,0.000742286,0.000742286,0.000742286
13,582.283,1.55672,1.81051,1.71118,0.68601,0.48612,0.54118,0.27361,1.72043,1.62148,1.84203,0.00073404,0.00073404,0.00073404
14,626.119,1.56112,1.7468,1.68776,0.48717,0.50248,0.51161,0.26317,1.76396,1.75146,1.90118,0.000725793,0.000725793,0.000725793
15,670.173,1.53185,1.76175,1.68455,0.65033,0.49529,0.51916,0.27663,1.67264,1.58398,1.81455,0.000717546,0.000717546,0.000717546
16,714.902,1.56266,1.72929,1.71322,0.52088,0.51455,0.54384,0.29068,1.67688,1.59959,1.83273,0.000709299,0.000709299,0.000709299
17,760.396,1.53224,1.66602,1.67604,0.68462,0.52179,0.56973,0.29958,1.68212,1.49125,1.81248,0.000701053,0.000701053,0.000701053
18,803.307,1.54445,1.72933,1.69959,0.65123,0.48142,0.53635,0.26883,1.7318,1.59215,1.85858,0.000692806,0.000692806,0.000692806
19,846.541,1.49642,1.65968,1.66982,0.71158,0.49226,0.56098,0.30074,1.65649,1.48071,1.81135,0.000684559,0.000684559,0.000684559
20,891.605,1.52064,1.65572,1.67219,0.50925,0.56635,0.55578,0.29548,1.6967,1.52554,1.83647,0.000676313,0.000676313,0.000676313
21,935.122,1.48815,1.60126,1.65547,0.55545,0.54392,0.54588,0.29546,1.6874,1.54297,1.83331,0.000668066,0.000668066,0.000668066
22,978.399,1.50497,1.60741,1.66131,0.58738,0.4938,0.56729,0.30859,1.64456,1.49435,1.82456,0.000659819,0.000659819,0.000659819
23,1022.03,1.49395,1.58242,1.65547,0.49106,0.57988,0.56208,0.3016,1.67453,1.56099,1.8153,0.000651573,0.000651573,0.000651573
24,1065.34,1.50398,1.58885,1.65296,0.57922,0.53388,0.56899,0.30216,1.67182,1.46821,1.83206,0.000643326,0.000643326,0.000643326
25,1108.67,1.49886,1.59432,1.6586,0.53029,0.57775,0.57155,0.30873,1.64598,1.50282,1.82528,0.000635079,0.000635079,0.000635079
26,1152.04,1.46859,1.56034,1.63723,0.61755,0.55516,0.58159,0.30806,1.66638,1.39991,1.82093,0.000626832,0.000626832,0.000626832
27,1197.36,1.47862,1.5389,1.6349,0.5613,0.59168,0.5834,0.31545,1.66262,1.40774,1.81868,0.000618586,0.000618586,0.000618586
28,1240.62,1.47221,1.54617,1.64275,0.54202,0.58705,0.59462,0.32539,1.64444,1.42346,1.79391,0.000610339,0.000610339,0.000610339
29,1285.22,1.45649,1.49875,1.62363,0.56242,0.58892,0.58181,0.31489,1.65602,1.40782,1.80711,0.000602092,0.000602092,0.000602092
30,1329.17,1.4576,1.50861,1.628,0.58279,0.55307,0.59832,0.32218,1.64855,1.39643,1.81503,0.000593846,0.000593846,0.000593846
31,1372.49,1.47061,1.51606,1.64157,0.55732,0.55894,0.58013,0.31168,1.64565,1.41535,1.79848,0.000585599,0.000585599,0.000585599
32,1416.1,1.45656,1.47024,1.61533,0.51822,0.55096,0.56676,0.30654,1.67087,1.48888,1.85207,0.000577352,0.000577352,0.000577352
33,1459.28,1.44629,1.48547,1.62909,0.56829,0.57308,0.59535,0.3163,1.67226,1.39758,1.82814,0.000569106,0.000569106,0.000569106
34,1504.38,1.43548,1.43394,1.60139,0.55589,0.60658,0.5995,0.32899,1.6539,1.39913,1.78052,0.000560859,0.000560859,0.000560859
35,1548.38,1.46059,1.45379,1.61917,0.59824,0.54551,0.59429,0.32451,1.63996,1.38108,1.81712,0.000552612,0.000552612,0.000552612
36,1592.65,1.45494,1.43407,1.61505,0.57165,0.61967,0.59708,0.32933,1.64483,1.3879,1.81846,0.000544365,0.000544365,0.000544365
37,1635.66,1.42312,1.42267,1.59535,0.53184,0.60282,0.58927,0.31316,1.65964,1.39244,1.79665,0.000536119,0.000536119,0.000536119
38,1679.45,1.42631,1.41395,1.60823,0.53207,0.59419,0.59274,0.3227,1.65401,1.36664,1.80791,0.000527872,0.000527872,0.000527872
39,1722.59,1.43397,1.42198,1.60623,0.73392,0.53152,0.60142,0.32759,1.65433,1.36315,1.799,0.000519625,0.000519625,0.000519625
40,1765.61,1.42697,1.40506,1.60666,0.48581,0.56196,0.58866,0.32657,1.64326,1.39223,1.83093,0.000511379,0.000511379,0.000511379
41,1810.48,1.39757,1.37948,1.5744,0.73832,0.54439,0.60965,0.33252,1.6458,1.32678,1.79009,0.000503132,0.000503132,0.000503132
42,1854.63,1.39484,1.37641,1.58064,0.73735,0.54234,0.6045,0.32474,1.68406,1.34344,1.8003,0.000494885,0.000494885,0.000494885
